,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
19302,29689000,239000,HOUSE,HOUSE,Wallonia,Liège,Huy,4500,50.5140798,5.2353482,,225,816,3,4,MISSING,MISSING,0,0,1,12,0,0,0,1,GOOD,Yes,320,D,WOOD,1,,,left_only
19308,3783000,239000,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,,,,,0,2,3,INSTALLED,Yes,0,0,1,,0,0,0,0,GOOD,Yes,338,D,MISSING,1,607,,left_only
19321,77313000,239000,HOUSE,HOUSE,Wallonia,Liège,Liège,4420,50.6289494,5.532366,,151,205,3,3,INSTALLED,Yes,0,0,1,50,0,0,0,0,AS_NEW,Yes,304,D,GAS,0,951,,left_only
19326,45568000,239000,HOUSE,HOUSE,Wallonia,Liège,Liège,4432,50.6987777,5.4867373,1975,129,496,3,2,USA_INSTALLED,Yes,0,0,1,,0,0,0,0,GOOD,Yes,442,F,FUELOIL,0,723,,left_only
19345,1918000,239000,HOUSE,HOUSE,Wallonia,Namur,Dinant,5570,50.1003926,4.9059609,1960,180,301,2,3,INSTALLED,Yes,0,0,1,5,1,200,0,0,AS_NEW,Yes,185,C,FUELOIL,1,,,left_only
19347,32646000,239000,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.156444,5.2202137,,152,367,3,4,MISSING,MISSING,0,0,1,27,1,257,0,1,GOOD,Yes,285,D,FUELOIL,1,639,,left_only
19378,1545000,239000,HOUSE,VILLA,Wallonia,Hainaut,Charleroi,6280,,,,,0,4,3,MISSING,MISSING,0,0,0,0,0,0,0,1,TO_RENOVATE,No,509,F,MISSING,0,,,left_only
19403,74394000,239500,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1180,50.7991665,4.3212311,1969,75,,,2,INSTALLED,Yes,0,1,1,7,0,0,0,1,GOOD,Yes,96,C,GAS,1,,,left_only
19465,36653000,239900,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6640,49.9121568,5.5725311,2024,97,,,2,NOT_INSTALLED,No,0,0,1,10,0,0,0,0,AS_NEW,Yes,,MISSING,MISSING,0,,,left_only
19466,39679000,239900,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6640,49.9121568,5.5725311,2024,101,,,2,NOT_INSTALLED,No,0,0,1,14,0,0,0,0,AS_NEW,Yes,,MISSING,MISSING,0,,,left_only
19473,18246000,239900,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6880,49.8672169,5.2504373,2023,97,,,2,MISSING,MISSING,0,0,1,,0,0,0,0,MISSING,MISSING,110,B,GAS,1,,,left_only
19494,51956000,240000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1020,,,,80,,,2,HYPER_EQUIPPED,Yes,0,0,1,3,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
19532,67970000,240000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2435809,4.4480773,2023,98,,2,2,INSTALLED,Yes,0,1,1,12,0,0,0,0,MISSING,MISSING,41,A,MISSING,1,,,left_only
19565,75975000,240000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,50.9301952,4.4344416,,68,,,2,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,469,E,MISSING,1,,,left_only
19576,67822000,240000,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3800,50.8088006,5.1819276,1983,94,,2,3,INSTALLED,Yes,0,1,0,0,0,0,0,1,GOOD,Yes,327,D,GAS,1,1154,,left_only
19597,6594000,240000,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8450,51.2346375,2.9742079,2023,,,,2,MISSING,MISSING,0,0,1,5,0,0,0,0,GOOD,Yes,0,MISSING,MISSING,0,,,left_only
19613,15299000,240000,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,150,,,2,INSTALLED,Yes,0,0,1,,0,0,0,0,GOOD,Yes,141,B,GAS,1,1518,,left_only
19644,53265000,240000,APARTMENT,DUPLEX,Brussels-Capital,Brussels,Brussels,1080,50.846484,4.2916325,1939,170,,2,5,INSTALLED,Yes,0,0,1,5,0,0,0,1,TO_RENOVATE,No,425,G,GAS,1,,,left_only
